model,position,preprocessing,accuracy,f1,recall,precision,avg accuracy across models,model
gda,rb,yeo-johnson,0.5877862595,0.6103896104,0.6458015267,0.5786593707,0.5443615176,
gda,rb,standard,0.5816793893,0.597650514,0.6213740458,0.5756718529,,
gda,rb,minmax,0.5801526718,0.5967741935,0.6213740458,0.5740479549,,
gda,rb,none,0.5816793893,0.597650514,0.6213740458,0.5756718529,,
gda,wr,yeo-johnson,0.5090168703,0.5093023256,0.509895227,0.5087108014,,
gda,wr,standard,0.5113438045,0.4756554307,0.4435389988,0.5127860027,,
gda,wr,minmax,0.5095986038,0.4754200373,0.4447031432,0.5106951872,,
gda,wr,none,0.5113438045,0.4756554307,0.4435389988,0.5127860027,,
gda,te,yeo-johnson,0.5404814004,0.5414847162,0.5426695842,0.5403050109,,
gda,te,standard,0.5382932166,0.4878640777,0.4398249453,0.5476839237,,
gda,te,minmax,0.5404814004,0.4902912621,0.4420131291,0.5504087193,,
gda,te,none,0.5404814004,0.4902912621,0.4420131291,0.5504087193,,
naive bayes,wr,none,0.537521815,0.5755472504,0.6274738068,0.5315581854,0.5311490586,
naive bayes,wr,yeo-johnson,0.5142524724,0.3659832954,0.2805587893,0.5262008734,,
naive bayes,wr,standard,0.537521815,0.5755472504,0.6274738068,0.5315581854,,
naive bayes,wr,minmax,0.537521815,0.5755472504,0.6274738068,0.5315581854,,
naive bayes,te,none,0.5021881838,0.6617100372,0.9737417943,0.5011261261,,
naive bayes,te,yeo-johnson,0.5175054705,0.6240409207,0.8008752735,0.5111731844,,
naive bayes,te,standard,0.5021881838,0.6617100372,0.9737417943,0.5011261261,,
naive bayes,te,minmax,0.5021881838,0.6617100372,0.9737417943,0.5011261261,,
naive bayes,rb,none,0.5541984733,0.5521472393,0.5496183206,0.5546995378,,
naive bayes,rb,yeo-johnson,0.5603053435,0.5795620438,0.6061068702,0.5552447552,,
naive bayes,rb,standard,0.5541984733,0.5521472393,0.5496183206,0.5546995378,,
naive bayes,rb,minmax,0.5541984733,0.5521472393,0.5496183206,0.5546995378,,
logreg (L1),rb,yeo-johnson,0.5870229008,0.6105111591,0.6473282443,0.5776566757,0.5448448106,
logreg (L1),rb,standard,0.5786259542,0.5959004392,0.6213740458,0.5724331927,,
logreg (L1),rb,minmax,0.5786259542,0.5964912281,0.6229007634,0.572230014,,
logreg (L1),rb,none,0.5786259542,0.5947136564,0.6183206107,0.5728429986,,
logreg (L1),wr,yeo-johnson,0.506689936,0.5058275058,0.5052386496,0.5064177363,,
logreg (L1),wr,standard,0.5090168703,0.4757763975,0.4458672875,0.5099866844,,
logreg (L1),wr,minmax,0.5165794066,0.4904966278,0.4656577416,0.518134715,,
logreg (L1),wr,none,0.5177428738,0.4860508369,0.4563445867,0.5198938992,,
logreg (L1),te,yeo-johnson,0.5382932166,0.53930131,0.5404814004,0.5381263617,,
logreg (L1),te,standard,0.5415754923,0.4921212121,0.4442013129,0.5516304348,,
logreg (L1),te,minmax,0.54595186,0.4981862152,0.4507658643,0.5567567568,,
logreg (L1),te,none,0.5393873085,0.4872107186,0.4376367615,0.5494505495,,
SVC,wr,none,0.5445026178,0.5815072154,0.6332945285,0.5375494071,0.5623731494,
SVC,wr,yeo-johnson,0.5328679465,0.5521472393,0.5762514552,0.5299785867,,
SVC,wr,standard,0.5445026178,0.5815072154,0.6332945285,0.5375494071,,
SVC,wr,minmax,0.5445026178,0.5815072154,0.6332945285,0.5375494071,,
SVC,te,none,0.5470459519,0.5410199557,0.533916849,0.5483146067,,
SVC,te,yeo-johnson,0.5547045952,0.5720294427,0.5951859956,0.5506072874,,
SVC,te,standard,0.5470459519,0.5410199557,0.533916849,0.5483146067,,
SVC,te,minmax,0.5470459519,0.5410199557,0.533916849,0.5483146067,,
SVC,rb,none,0.5961832061,0.6013564431,0.6091603053,0.59375,,
SVC,rb,yeo-johnson,0.5977099237,0.6122148639,0.6351145038,0.5909090909,,
