PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Brian Robinson,WSH,RB,5,CHI,0,0,0,17.59,76.58,0.6,0.99,7.82,0.06,0,0,0,6,10,0,4,33,0,12.4,13.39,12.9,4.3,8.3,6.3,0,0,0,-11.59,-66.58,-0.6,3.01,25.18,-0.06,-8.1,-5.09,-6.6
Khalil Herbert,CHI,RB,5,WSH,0,0,0,13.93,62.83,0.32,1.47,10.48,0.08,0,0,0,10,76,0,0,0,0,9.73,11.2,10.46,7.6,7.6,7.6,0,0,0,-3.93,13.17,-0.32,-1.47,-10.48,-0.08,-2.13,-3.6,-2.86
Antonio Gibson,WSH,RB,5,CHI,0,0,0,5.53,23.95,0.22,2.38,17.87,0.13,0,0,0,0,0,0,4,64,0,6.28,8.66,7.47,6.4,10.4,8.4,0,0,0,-5.53,-23.95,-0.22,1.62,46.13,-0.13,0.12,1.74,0.93
Roschon Johnson,CHI,RB,5,WSH,0,0,0,6.06,27.06,0.15,1.93,13.43,0.1,0,0,0,3,19,0,0,0,0,5.55,7.48,6.52,1.9,1.9,1.9,0,0,0,-3.06,-8.06,-0.15,-1.93,-13.43,-0.1,-3.65,-5.58,-4.62
Khari Blasingame,CHI,RB,5,WSH,0,0,0,0.3,1.26,0.01,0.2,1.48,0.01,0,0,0,8,26,0,0,0,0,0.39,0.59,0.49,2.6,2.6,2.6,0,0,0,7.7,24.74,-0.01,-0.2,-1.48,-0.01,2.21,2.01,2.11
David Montgomery,DET,RB,5,CAR,0,0,0,21.87,90.28,0.85,2.49,18.86,0.13,0,0,0,19,109,0,2,20,0,16.79,19.28,18.04,12.9,14.9,13.9,0,0,0,-2.87,18.72,-0.85,-0.49,1.14,-0.13,-3.89,-4.38,-4.14
Bijan Robinson,ATL,RB,5,HOU,0,0,0,17.96,82.59,0.66,3.85,27.57,0.18,0,0,0,14,46,0,2,12,1,16.06,19.91,17.98,11.8,13.8,12.8,0,0,0,-3.96,-36.59,-0.66,-1.85,-15.57,0.82,-4.26,-6.11,-5.18
Derrick Henry,TEN,RB,5,IND,0,0,0,20.08,90.93,0.76,1.71,15.78,0.07,0,0,0,13,43,0,3,19,0,15.65,17.36,16.5,6.2,9.2,7.7,0,0,0,-7.08,-47.93,-0.76,1.29,3.22,-0.07,-9.45,-8.16,-8.8
Jonathan Taylor,IND,RB,5,TEN,0,0,0,17.22,82.39,0.48,1.75,13.57,0.08,0,0,0,6,18,0,1,16,0,12.96,14.71,13.84,3.4,4.4,3.9,0,0,0,-11.22,-64.39,-0.48,-0.75,2.43,-0.08,-9.56,-10.31,-9.94
Travis Etienne,JAC,RB,5,BUF,0,0,0,16.58,75.79,0.5,2.22,16.26,0.09,0,0,0,27,138,0,4,48,0,12.74,14.96,13.85,18.6,22.6,20.6,0,0,0,10.42,62.21,-0.5,1.78,31.74,-0.09,5.86,7.64,6.75
Alvin Kamara,NO,RB,5,NE,0,0,0,15.04,62.99,0.43,3.64,27.08,0.14,0,0,0,22,80,0,3,17,0,12.43,16.07,14.25,9.7,12.7,11.2,0,0,0,6.96,17.01,-0.43,-0.64,-10.08,-0.14,-2.73,-3.37,-3.05
Rhamondre Stevenson,NE,RB,5,NO,0,0,0,15.04,66.65,0.44,2.99,18.24,0.12,0,0,0,8,24,0,0,0,0,11.85,14.84,13.34,2.4,2.4,2.4,0,0,0,-7.04,-42.65,-0.44,-2.99,-18.24,-0.12,-9.45,-12.44,-10.94
Raheem Mostert,MIA,RB,5,NYG,0,0,0,10.36,52.43,0.46,2.54,21.55,0.16,0,0,0,10,65,0,2,13,0,11.12,13.66,12.39,7.8,9.8,8.8,0,0,0,-0.36,12.57,-0.46,-0.54,-8.55,-0.16,-3.32,-3.86,-3.59
Miles Sanders,CAR,RB,5,DET,0,0,0,14.31,69.64,0.34,2.16,13.12,0.07,0,0,0,7,32,0,0,0,0,10.74,12.9,11.82,3.2,3.2,3.2,0,0,0,-7.31,-37.64,-0.34,-2.16,-13.12,-0.07,-7.54,-9.7,-8.62
Dameon Pierce,HOU,RB,5,ATL,0,0,0,15.81,67.19,0.36,2,13.67,0.09,0,0,0,20,66,0,1,16,0,10.79,12.79,11.79,8.2,9.2,8.7,0,0,0,4.19,-1.19,-0.36,-1,2.33,-0.09,-2.59,-3.59,-3.09
De'Von Achane,MIA,RB,5,NYG,0,0,0,10.09,47.6,0.45,2.42,18.41,0.15,0,0,0,11,151,0,1,14,0,10.2,12.62,11.41,16.5,17.5,17,0,0,0,0.91,103.4,-0.45,-1.42,-4.41,-0.15,6.3,4.88,5.59
Najee Harris,PIT,RB,5,BAL,0,0,0,14.8,58.74,0.35,1.99,11.84,0.07,0,0,0,14,37,0,1,3,0,9.58,11.57,10.58,4,5,4.5,0,0,0,-0.8,-21.74,-0.35,-0.99,-8.84,-0.07,-5.58,-6.57,-6.07
James Cook,BUF,RB,5,JAC,0,0,0,11.78,52.99,0.34,2.02,15.13,0.09,0,0,0,5,-4,0,3,25,0,9.39,11.41,10.4,2.1,5.1,3.6,0,0,0,-6.78,-56.99,-0.34,0.98,9.87,-0.09,-7.29,-6.31,-6.8
Tyler Allgeier,ATL,RB,5,HOU,0,0,0,10.94,51.03,0.37,1,7.25,0.05,0,0,0,17,40,0,0,0,0,8.35,9.35,8.85,4,4,4,0,0,0,6.06,-11.03,-0.37,-1,-7.25,-0.05,-4.35,-5.35,-4.85
Matt Breida,NYG,RB,5,MIA,0,0,0,12.17,55.85,0.3,1.49,10.82,0.05,0,0,0,9,21,0,1,3,0,8.77,10.26,9.51,2.4,3.4,2.9,0,0,0,-3.17,-34.85,-0.3,-0.49,-7.82,-0.05,-6.37,-6.86,-6.61
Gus Edwards,BAL,RB,5,PIT,0,0,0,11.8,57.32,0.29,0.41,3.13,0.02,0,0,0,12,48,0,0,0,0,7.9,8.31,8.1,4.8,4.8,4.8,0,0,0,0.2,-9.32,-0.29,-0.41,-3.13,-0.02,-3.1,-3.51,-3.31
Jaylen Warren,PIT,RB,5,BAL,0,0,0,8.69,38.74,0.22,2.8,19.49,0.09,0,0,0,9,40,0,3,39,0,7.68,10.48,9.08,7.9,10.9,9.4,0,0,0,0.31,1.26,-0.22,0.2,19.51,-0.09,0.22,0.42,0.32
Ezekiel Elliott,NE,RB,5,NO,0,0,0,10.98,45.29,0.37,0.99,5.62,0.04,0,0,0,8,21,0,4,17,0,7.55,8.54,8.04,3.8,7.8,5.8,0,0,0,-2.98,-24.29,-0.37,3.01,11.38,-0.04,-3.75,-0.74,-2.24
Chuba Hubbard,CAR,RB,5,DET,0,0,0,7.55,33.09,0.18,1.87,14.22,0.06,0,0,0,9,35,0,1,0,0,6.17,8.04,7.1,3.5,4.5,4,0,0,0,1.45,1.91,-0.18,-0.87,-14.22,-0.06,-2.67,-3.54,-3.11
Tyjae Spears,TEN,RB,5,IND,0,0,0,5.74,25.84,0.18,2.25,15.71,0.1,0,0,0,7,34,0,4,35,0,5.84,8.09,6.96,6.9,10.9,8.9,0,0,0,1.26,8.16,-0.18,1.75,19.29,-0.1,1.06,2.81,1.94
Kendre Miller,NO,RB,5,NE,0,0,0,6.01,24.8,0.12,0.78,5.59,0.03,0,0,0,12,37,0,4,53,0,3.94,4.72,4.33,9,13,11,0,0,0,5.99,12.2,-0.12,3.22,47.41,-0.03,5.06,8.28,6.67
Justice Hill,BAL,RB,5,PIT,0,0,0,4.85,21.91,0.13,0.52,3.56,0.03,0,0,0,7,32,0,4,13,0,3.51,4.03,3.77,4.5,8.5,6.5,0,0,0,2.15,10.09,-0.13,3.48,9.44,-0.03,0.99,4.47,2.73
Damien Harris,BUF,RB,5,JAC,0,0,0,4.32,19.39,0.16,0.54,3.71,0.02,0,0,0,3,13,0,0,0,0,3.39,3.93,3.66,1.3,1.3,1.3,0,0,0,-1.32,-6.39,-0.16,-0.54,-3.71,-0.02,-2.09,-2.63,-2.36
Latavius Murray,BUF,RB,5,JAC,0,0,0,3.27,14.04,0.12,1.1,7.22,0.05,0,0,0,2,6,0,1,1,0,3.15,4.25,3.7,0.7,1.7,1.2,0,0,0,-1.27,-8.04,-0.12,-0.1,-6.22,-0.05,-2.45,-2.55,-2.5
Zonovan Knight,DET,RB,5,CAR,0,0,0,4.52,18.94,0.15,0.25,1.79,0.02,0,0,0,0,0,0,1,8,0,3.09,3.34,3.22,0.8,1.8,1.3,0,0,0,-4.52,-18.94,-0.15,0.75,6.21,-0.02,-2.29,-1.54,-1.91
