Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGame,FantasyPoints
1,Kansas City Chiefs,KC,DST,16,69,47,73,21,15,0,7,4,303,12.9,207
2,Carolina Panthers,CAR,DST,16,92,60,99,20,11,0,4,0,237,12.2,195
2,Seattle Seahawks,SEA,DST,16,70,44,98,28,11,2,4,0,225,12.2,195
4,Cincinnati Bengals,CIN,DST,16,66,43,101,20,11,0,6,1,285,10.6,170
5,Arizona Cardinals,ARI,DST,16,92,47,110,20,10,2,5,0,316,10.4,166
6,San Francisco 49ers,SF,DST,16,72,38,79,18,11,1,5,0,270,10.1,162
7,Los Angeles Rams,LAR,DST,16,100,53,90,14,15,1,5,1,332,9.9,159
8,New England Patriots,NE,DST,16,69,48,93,17,12,0,3,0,320,9,144
9,Buffalo Bills,BUF,DST,16,98,56,94,23,6,0,3,0,370,8.9,142
10,Indianapolis Colts,IND,DST,16,60,42,81,15,11,2,1,1,322,8.2,132
11,Denver Broncos,DEN,DST,16,94,41,85,17,9,0,2,3,385,7.8,125
12,Tampa Bay Buccaneers,TB,DST,16,87,35,82,21,10,1,3,0,375,7.8,124
13,Baltimore Ravens,BAL,DST,16,76,40,80,16,7,0,1,2,322,7.7,123
14,Dallas Cowboys,DAL,DST,16,70,34,63,15,13,0,5,1,426,7.6,121
14,Philadelphia Eagles,PHI,DST,16,73,37,52,19,12,2,2,0,370,7.6,121
16,Miami Dolphins,MIA,DST,16,68,42,84,18,6,1,2,0,321,7.5,120
17,New York Giants,NYG,DST,16,73,34,83,17,12,0,2,1,345,7.4,119
18,Chicago Bears,CHI,DST,16,64,31,45,19,9,0,6,1,434,7.3,117
19,Pittsburgh Steelers,PIT,DST,16,60,34,65,10,10,1,3,1,358,7.2,115
20,Cleveland Browns,CLE,DST,16,65,40,79,14,7,0,4,1,386,7.1,114
20,Tennessee Titans,TEN,DST,16,68,36,69,13,12,0,3,0,351,7.1,114
22,Detroit Lions,DET,DST,16,77,33,82,15,7,2,2,2,352,7,112
23,New Orleans Saints,NO,DST,16,78,49,95,12,7,0,0,0,292,6.8,109
24,Green Bay Packers,GB,DST,16,80,44,61,11,12,0,2,1,402,6.6,106
25,Washington Commanders,WAS,DST,16,77,36,69,16,8,0,5,0,464,6.1,98
26,Las Vegas Raiders,LV,DST,16,84,38,71,9,13,0,3,1,435,6,96
27,New York Jets,NYJ,DST,16,83,41,80,13,2,1,1,1,351,5.9,95
28,Minnesota Vikings,MIN,DST,16,84,42,84,12,8,0,1,3,456,5.7,91
28,Los Angeles Chargers,LAC,DST,16,64,35,55,11,7,0,1,0,330,5.7,91
30,Jacksonville Jaguars,JAX,DST,16,58,31,71,11,10,3,2,0,425,5.3,85
31,Atlanta Falcons,ATL,DST,16,59,32,56,10,11,0,3,0,419,5.2,84
32,Houston Texans,HOU,DST,16,71,32,103,7,4,1,1,1,384,4.2,68
