Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGamePPR,FantasyPointsPPR
1,New England Patriots,NE,DST,16,76.5,47,102,25,11,1,5,2,195,14,224
2,Pittsburgh Steelers,PIT,DST,16,115,54,116,20,18,0,3,1,285,11.2,180
3,San Francisco 49ers,SF,DST,16,108,48,96,12,15,0,5,0,290,10.2,163
4,Baltimore Ravens,BAL,DST,16,88.5,37,111,13,12,1,6,0,282,9.4,150
5,Los Angeles Rams,LAR,DST,16,98.5,50,95,13,11,1,4,0,340,9.1,146
6,Kansas City Chiefs,KC,DST,16,79,45,99,16,7,0,3,1,302,9,144
7,Minnesota Vikings,MIN,DST,16,98,48,103,17,14,1,2,0,301,8.9,143
8,New Orleans Saints,NO,DST,16,95,51,110,13,10,1,3,1,341,8.8,141
9,Tampa Bay Buccaneers,TB,DST,16,107,47,117,12,17,0,6,0,405,8.7,139
10,Buffalo Bills,BUF,DST,16,115.5,44,96,14,10,1,0,1,251,8.2,132
10,New York Jets,NYJ,DST,16,117.5,35,98,12,9,2,5,1,341,8.2,132
12,Tennessee Titans,TEN,DST,16,87,43,86,14,9,1,3,1,331,7.8,125
13,Indianapolis Colts,IND,DST,16,87.5,41,85,15,8,2,1,2,355,7.8,124
14,Seattle Seahawks,SEA,DST,16,71,28,71,16,16,0,3,0,368,7.4,118
15,Philadelphia Eagles,PHI,DST,16,104,43,110,11,9,0,3,0,354,6.8,109
16,Green Bay Packers,GB,DST,16,73.5,41,95,17,7,0,0,0,313,6.8,108
17,Chicago Bears,CHI,DST,16,64.5,32,82,10,9,1,1,1,296,6.6,105
18,Jacksonville Jaguars,JAX,DST,16,90.5,47,106,10,9,0,2,0,385,6.2,99
18,Dallas Cowboys,DAL,DST,16,92.5,39,95,7,10,0,1,0,321,6.2,99
18,Denver Broncos,DEN,DST,16,91,40,81,10,6,0,1,0,310,6.2,99
21,Atlanta Falcons,ATL,DST,16,86.5,28,69,12,7,0,2,1,375,5.9,94
22,Washington Commanders,WAS,DST,16,88,46,97,13,9,0,0,1,417,5.8,92
23,Carolina Panthers,CAR,DST,16,95.5,53,111,14,7,2,1,0,464,5.7,91
24,Houston Texans,HOU,DST,16,67,31,93,12,10,0,2,0,377,5.6,90
25,Cleveland Browns,CLE,DST,16,87.5,38,83,14,6,0,1,0,377,5.4,87
26,Los Angeles Chargers,LAC,DST,16,74.5,30,67,11,4,0,0,1,327,5.2,84
27,New York Giants,NYG,DST,16,102.5,36,100,10,6,1,2,1,425,5.1,82
28,Detroit Lions,DET,DST,16,60,28,72,7,12,0,1,2,411,5,80
29,Las Vegas Raiders,LV,DST,16,88.5,32,68,9,6,0,2,0,399,4.4,70
30,Cincinnati Bengals,CIN,DST,16,73,31,84,11,5,1,0,1,390,4.2,67
30,Arizona Cardinals,ARI,DST,16,116,40,97,7,10,0,0,0,424,4.2,67
32,Miami Dolphins,MIA,DST,16,56.5,23,67,13,3,1,1,1,478,3.3,53
