PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Christian McCaffrey,SF,RB,3,NYG,0,0,0,20.03,96.25,0.83,4.77,41.17,0.29,0,0,0,18,85,0,5,34,0,20.46,25.23,22.84,11.9,16.9,14.4,0,0,0,-2.03,-11.25,-0.83,0.23,-7.17,-0.29,-8.56,-8.33,-8.44
Matt Breida,NYG,RB,3,SF,0,0,0,9.96,44.77,0.21,1.19,8.17,0.04,0,0,0,4,17,0,3,1,0,6.79,7.98,7.38,1.8,4.8,3.3,0,0,0,-5.96,-27.77,-0.21,1.81,-7.17,-0.04,-4.99,-3.18,-4.08
Gary Brightwell,NYG,RB,3,SF,0,0,0,6.55,26.67,0.15,0.96,6.08,0.03,0,0,0,4,5,0,2,31,0,4.36,5.32,4.84,3.6,5.6,4.6,0,0,0,-2.55,-21.67,-0.15,1.04,24.92,-0.03,-0.76,0.28,-0.24
Elijah Mitchell,SF,RB,3,NYG,0,0,0,3.39,16.09,0.11,0.44,3.3,0.03,0,0,0,11,42,0,3,2,0,2.78,3.22,3,4.4,7.4,5.9,0,0,0,7.61,25.91,-0.11,2.56,-1.3,-0.03,1.62,4.18,2.9
Kyle Juszczyk,SF,RB,3,NYG,0,0,0,0.62,2.66,0.02,0.44,4.47,0.03,0,0,0,1,3,0,0,0,0,1.01,1.45,1.23,0.3,0.3,0.3,0,0,0,0.38,0.34,-0.02,-0.44,-4.47,-0.03,-0.71,-1.15,-0.93
Jordan Mason,SF,RB,3,NYG,0,0,0,0.31,1.37,0.01,0.22,1.75,0.01,0,0,0,3,11,0,0,0,0,0.43,0.65,0.54,1.1,1.1,1.1,0,0,0,2.69,9.63,-0.01,-0.22,-1.75,-0.01,0.67,0.45,0.56
Jahmyr Gibbs,DET,RB,3,ATL,0,0,0,16.57,75.06,0.54,4.55,34.91,0.26,0,0,0,17,80,0,1,2,0,15.8,20.35,18.08,8.2,9.2,8.7,0,0,0,0.43,4.94,-0.54,-3.55,-32.91,-0.26,-7.6,-11.15,-9.38
Derrick Henry,TEN,RB,3,CLE,0,0,0,19.61,93.29,0.57,1.82,16.21,0.06,0,0,0,11,20,0,0,0,0,14.73,16.55,15.64,2,2,2,0,0,0,-8.61,-73.29,-0.57,-1.82,-16.21,-0.06,-12.73,-14.55,-13.64
Raheem Mostert,MIA,RB,3,DEN,0,0,0,15.82,78.88,0.61,2.2,18.59,0.13,0,0,0,13,82,0,7,60,1,14.19,16.39,15.29,20.2,27.2,23.7,0,0,0,-2.82,3.12,-0.61,4.8,41.41,0.87,6.01,10.81,8.41
Travis Etienne,JAC,RB,3,HOU,0,0,0,16.65,77.87,0.67,2.35,17.78,0.13,0,0,0,19,88,0,4,50,0,14.37,16.72,15.54,13.8,17.8,15.8,0,0,0,2.35,10.13,-0.67,1.65,32.22,-0.13,-0.57,1.08,0.26
Bijan Robinson,ATL,RB,3,DET,0,0,0,13.58,60.96,0.45,4.26,31.98,0.2,0,0,0,10,33,0,4,27,0,13.19,17.45,15.32,6,10,8,0,0,0,-3.58,-27.96,-0.45,-0.26,-4.98,-0.2,-7.19,-7.45,-7.32
Rhamondre Stevenson,NE,RB,3,NYJ,0,0,0,16.79,74.77,0.45,3.03,18.92,0.1,0,0,0,19,59,0,1,3,0,12.67,15.7,14.18,6.2,7.2,6.7,0,0,0,2.21,-15.77,-0.45,-2.03,-15.92,-0.1,-6.47,-8.5,-7.48
Alexander Mattison,MIN,RB,3,LAC,0,0,0,15.67,70.31,0.54,1.65,10.93,0.11,0,0,0,20,93,0,5,32,0,12.02,13.67,12.84,12.5,17.5,15,0,0,0,4.33,22.69,-0.54,3.35,21.07,-0.11,0.48,3.83,2.16
Zack Moss,IND,RB,3,BAL,0,0,0,18.95,82.64,0.47,1.02,7.54,0.04,0,0,0,30,122,0,2,23,1,12.08,13.1,12.59,20.5,22.5,21.5,0,0,0,11.05,39.36,-0.47,0.98,15.46,0.96,8.42,9.4,8.91
AJ Dillon,GB,RB,3,NO,0,0,0,15.52,67.27,0.48,1.8,14.62,0.09,0,0,0,11,33,0,0,0,0,11.61,13.41,12.51,3.3,3.3,3.3,0,0,0,-4.52,-34.27,-0.48,-1.8,-14.62,-0.09,-8.31,-10.11,-9.21
Brian Robinson,WSH,RB,3,BUF,0,0,0,18.82,80.54,0.46,1.03,7.16,0.04,0,0,0,10,70,0,0,0,0,11.77,12.8,12.28,7,7,7,0,0,0,-8.82,-10.54,-0.46,-1.03,-7.16,-0.04,-4.77,-5.8,-5.28
Javonte Williams,DEN,RB,3,MIA,0,0,0,14.03,60.47,0.38,3.01,20.86,0.16,0,0,0,11,42,0,2,23,0,11.37,14.38,12.88,6.5,8.5,7.5,0,0,0,-3.03,-18.47,-0.38,-1.01,2.14,-0.16,-4.87,-5.88,-5.38
Tyler Allgeier,ATL,RB,3,DET,0,0,0,14.68,67.99,0.45,1.44,10.96,0.07,0,0,0,7,12,0,2,17,0,11.01,12.45,11.73,2.9,4.9,3.9,0,0,0,-7.68,-55.99,-0.45,0.56,6.04,-0.07,-8.11,-7.55,-7.83
