Rank,Name,Team,Position,Week,Opponent,ProjRushAtt,ProjRushYd,RushingYardsPerAttempt,ProjRushTD,ReceivingTargets,ProjRecCount,ProjRecYd,ProjRecTD,Fumbles,FumblesLost,FantasyPointsPerGame,DiffPPR1,Year
1060,AJ Dillon,GB,RB,1,MIN,5.0,17.7,3.6,0.1,0.99,0.7,4.0,0.0,0.0,0.0,2.8,-2.0700000000000003,2020
1183,AJ Dillon,GB,RB,2,DET,2.4,11.6,6.0,0.1,0.42,0.3,2.4,0.0,0.0,0.0,2.0,-0.5999999999999999,2020
1170,AJ Dillon,GB,RB,3,NO,3.4,12.9,4.3,0.1,0.42,0.3,1.9,0.0,0.0,0.0,2.1,-2.38,2020
1282,AJ Dillon,GB,RB,4,ATL,2.0,7.5,4.0,0.1,0.14,0.1,0.8,0.0,0.0,0.0,1.4,-1.2300000000000002,2020
1315,AJ Dillon,GB,RB,6,TB,2.0,6.7,3.5,0.1,0.14,0.1,0.6,0.0,0.0,0.0,1.3,1.67,2020
551,AJ Dillon,GB,RB,7,HOU,8.8,35.9,4.0,0.3,1.98,1.4,12.8,0.1,0.1,0.1,7.1,-7.5699999999999985,2020
897,AJ Dillon,GB,RB,8,MIN,5.4,22.3,4.4,0.2,0.85,0.6,4.2,0.0,0.0,0.0,3.8,0.25,2020
1373,AJ Dillon,GB,RB,14,DET,1.5,10.4,5.0,0.0,0.42,0.3,1.2,0.0,0.0,0.0,1.2,-1.46,2020
1404,AJ Dillon,GB,RB,15,CAR,1.5,9.1,4.5,0.0,0.28,0.2,1.3,0.0,0.0,0.0,1.0,0.5600000000000003,2020
969,AJ Dillon,GB,RB,16,TEN,5.4,21.5,4.4,0.1,0.85,0.6,4.6,0.0,0.0,0.0,3.2,22.09,2020
1019,AJ Dillon,GB,RB,17,CHI,4.2,21.2,5.2,0.1,0.56,0.4,2.8,0.0,0.0,0.0,3.0,-3.1,2020
756,AJ Dillon,GB,RB,1,NO,9.0,36.6,4.1,0.2,1.1,0.8,5.7,0.0,0.1,0.1,5.2,-2.630000000000001,2021
689,AJ Dillon,GB,RB,2,DET,9.3,41.9,4.7,0.2,1.3,0.9,5.8,0.0,0.1,0.1,5.8,-3.2700000000000005,2021
808,AJ Dillon,GB,RB,3,SF,7.3,30.9,4.4,0.2,1.2,0.9,6.0,0.0,0.1,0.1,4.7,-1.1900000000000004,2021
