Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
2091,A.J. Rose,MIN,RB,1,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,A.J. Rose,MIN,RB,2,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,A.J. Rose,MIN,RB,3,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,A.J. Rose,MIN,RB,5,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,A.J. Rose,MIN,RB,6,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,A.J. Rose,MIN,RB,8,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,A.J. Rose,MIN,RB,9,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060,AJ Dillon,GB,RB,1,MIN,5.0,17.7,3.6,0.1,0.99,0.7,4.0,0.0,0.0,0.0,2.8,2.77
756,AJ Dillon,GB,RB,1,NO,9.0,36.6,4.1,0.2,1.1,0.8,5.7,0.0,0.1,0.1,5.2,5.23
404,AJ Dillon,GB,RB,1,MIN,11.6,52.3,4.3,0.4,3.0,2.1,16.2,0.1,0.1,0.1,9.6,9.65
1183,AJ Dillon,GB,RB,2,DET,2.4,11.6,6.0,0.1,0.42,0.3,2.4,0.0,0.0,0.0,2.0,2.0
689,AJ Dillon,GB,RB,2,DET,9.3,41.9,4.7,0.2,1.3,0.9,5.8,0.0,0.1,0.1,5.8,5.77
343,AJ Dillon,GB,RB,2,CHI,13.1,57.3,4.4,0.4,3.2,2.4,18.7,0.1,0.1,0.1,10.4,10.4
1170,AJ Dillon,GB,RB,3,NO,3.4,12.9,4.3,0.1,0.42,0.3,1.9,0.0,0.0,0.0,2.1,2.08
808,AJ Dillon,GB,RB,3,SF,7.3,30.9,4.4,0.2,1.2,0.9,6.0,0.0,0.1,0.1,4.7,4.69
423,AJ Dillon,GB,RB,3,TB,12.8,54.6,4.2,0.3,3.6,2.4,18.1,0.1,0.1,0.1,9.5,9.47
1282,AJ Dillon,GB,RB,4,ATL,2.0,7.5,4.0,0.1,0.14,0.1,0.8,0.0,0.0,0.0,1.4,1.43
772,AJ Dillon,GB,RB,4,PIT,7.6,32.9,4.1,0.2,1.2,1.0,5.8,0.0,0.0,0.0,5.1,5.07
356,AJ Dillon,GB,RB,4,NE,13.0,55.7,4.3,0.4,3.3,2.4,19.3,0.1,0.1,0.1,10.3,10.3
728,AJ Dillon,GB,RB,5,CIN,8.5,37.9,4.8,0.2,1.3,1.0,6.5,0.0,0.1,0.1,5.4,5.44
361,AJ Dillon,GB,RB,5,NYG,13.2,57.5,4.5,0.4,2.8,2.1,16.7,0.1,0.1,0.1,10.2,10.22
1315,AJ Dillon,GB,RB,6,TB,2.0,6.7,3.5,0.1,0.14,0.1,0.6,0.0,0.0,0.0,1.3,1.33
728,AJ Dillon,GB,RB,6,CHI,8.0,34.4,4.2,0.2,2.0,1.5,10.0,0.0,0.1,0.1,5.4,5.44
434,AJ Dillon,GB,RB,6,NYJ,12.3,51.7,4.3,0.4,2.6,1.9,14.0,0.1,0.1,0.1,9.4,9.37
551,AJ Dillon,GB,RB,7,HOU,8.8,35.9,4.0,0.3,1.98,1.4,12.8,0.1,0.1,0.1,7.1,7.07
596,AJ Dillon,GB,RB,7,WAS,9.5,43.4,4.3,0.2,1.9,1.5,10.7,0.1,0.1,0.1,7.0,7.01
489,AJ Dillon,GB,RB,7,WAS,12.2,51.4,4.2,0.3,2.8,2.2,14.6,0.1,0.1,0.1,8.8,8.8
897,AJ Dillon,GB,RB,8,MIN,5.4,22.3,4.4,0.2,0.85,0.6,4.2,0.0,0.0,0.0,3.8,3.85
656,AJ Dillon,GB,RB,8,ARI,7.7,34.9,4.4,0.2,1.9,1.6,10.9,0.1,0.1,0.1,6.2,6.18
646,AJ Dillon,GB,RB,8,BUF,9.7,38.3,3.8,0.2,2.6,1.7,12.0,0.1,0.1,0.1,6.6,6.63
586,AJ Dillon,GB,RB,9,KC,10.4,47.3,4.7,0.3,1.9,1.3,8.2,0.0,0.1,0.1,7.2,7.15
607,AJ Dillon,GB,RB,9,DET,9.9,43.9,4.4,0.3,2.4,1.6,11.9,0.0,0.1,0.1,7.2,7.18
1805,AJ Dillon,GB,RB,10,JAX,0.5,1.9,0.0,0.0,0.14,0.1,0.6,0.0,0.0,0.0,0.2,0.25
