Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,ProjRecCount,ReceptionPercentage,ProjRecYd,ProjRecTD,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,ProjRushAtt,ProjRushYd,RushingYardsPerAttempt,ProjRushTD,Fumbles,FumblesLost,FantasyPointsPerGame,Year,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,DefFantasyPointsPerGame,DefFantasyPoints,DefRank,DiffPPR1
661,AJ Derby,NE,TE,1,ARI,1.89,1.4,50.0,14.3,0.1,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2016,,2.0588235294117645,5.411764705882353,0.47058823529411764,0.5882352941176471,0.0,0.0,0.0,21.941176470588236,,,17,-3.43
1381,AJ Derby,DEN,TE,9,LV,0.13,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2016,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,,,20,-0.19
1111,AJ Derby,DEN,TE,10,NO,0.54,0.4,0.0,4.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2016,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,23.0,,,31,3.39
666,AJ Derby,DEN,TE,12,KC,1.89,1.4,50.0,13.9,0.1,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2016,7.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,19.0,,,2,4.91
484,AJ Derby,DEN,TE,13,JAX,2.83,2.1,66.7,22.8,0.2,0.0,7.7,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2016,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,28.0,,,32,-4.28
484,AJ Derby,DEN,TE,14,TEN,2.97,2.2,66.7,22.8,0.2,0.0,7.7,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2016,3.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,24.0,,,22,5.019999999999999
376,AJ Derby,DEN,TE,15,NE,4.72,3.5,80.0,31.4,0.2,0.0,6.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2016,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,23.0,,,13,-0.33999999999999986
691,AJ Derby,DEN,TE,1,LAC,2.16,1.6,100.0,15.6,0.1,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,2017,,2.176470588235294,4.235294117647059,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,22.647058823529413,,,18,2.64
609,AJ Derby,DEN,TE,2,DAL,2.43,1.8,100.0,18.9,0.1,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.1,0.1,2.3,2017,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,,,18,-4.29
644,AJ Derby,DEN,TE,3,BUF,2.16,1.6,100.0,17.2,0.1,0.0,8.5,8.5,0.0,0.0,0.0,0.0,0.1,0.1,2.1,2017,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,,,10,-2.42
