Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Jimmy Graham,NO,TE,4,MIA,13,8,61.5,115,1,52,8.8,14.4,0,0,0,0,0,0,17.5,17.5
1,Jimmy Graham,NO,TE,6,NE,10,7,70,115,1,51,11.5,16.4,0,0,0,0,0,0,17.5,17.5
3,Jimmy Graham,NO,TE,10,DAL,9,7,77.8,104,1,46,11.6,14.9,0,0,0,0,0,0,16.4,16.4
4,Jimmy Graham,NO,TE,5,CHI,11,7,63.6,103,1,46,9.4,14.7,0,0,0,0,0,0,16.3,16.3
5,Jimmy Graham,NO,TE,12,ATL,9,8,88.9,97,1,43,10.8,12.1,0,0,0,0,0,0,15.7,15.7
6,Jimmy Graham,NO,TE,15,LAR,10,7,70,87,1,39,8.7,12.4,0,0,0,0,0,0,14.7,14.7
7,Rob Gronkowski,NE,TE,8,MIA,8,5,62.5,82,1,36,10.2,16.4,0,0,0,0,0,0,14.2,14.2
8,Jimmy Graham,NO,TE,11,SF,6,6,100,81,1,36,13.5,13.5,0,0,0,0,0,0,14.1,14.1
9,Jimmy Graham,NO,TE,13,SEA,8,6,75,80,1,36,10,13.3,0,0,0,0,0,0,14,14
10,Jimmy Graham,NO,TE,16,CAR,10,6,60,77,1,34,7.7,12.8,0,0,0,0,0,0,13.7,13.7
11,Jimmy Graham,NO,TE,17,TB,9,5,55.6,75,1,34,8.3,15,0,0,0,0,0,0,13.5,13.5
12,Julius Thomas,DEN,TE,5,DAL,7,6,85.7,74,1,33,10.6,12.3,0,0,0,0,0,0,13.4,13.4
13,Vernon Davis,SF,TE,7,TEN,6,4,66.7,67,1,30,11.2,16.8,0,0,0,0,0,0,12.7,12.7
14,Julius Thomas,DEN,TE,15,LAC,6,5,83.3,65,1,29,10.8,13,0,0,0,0,0,0,12.5,12.5
15,Jimmy Graham,NO,TE,3,ARI,13,9,69.2,124,0,56,9.5,13.8,0,0,0,0,0,0,12.4,12.4
16,Jimmy Graham,NO,TE,1,ATL,14,10,71.4,123,0,55,8.8,12.3,0,0,0,0,0,0,12.3,12.3
17,Tony Gonzalez,ATL,TE,17,CAR,8,6,75,60,1,27,7.5,10,0,0,0,0,0,0,12,12
18,Rob Gronkowski,NE,TE,7,NYJ,6,4,66.7,59,1,26,9.8,14.8,0,0,0,0,0,0,11.9,11.9
18,Vernon Davis,SF,TE,17,ARI,5,4,80,59,1,26,11.8,14.8,0,0,0,0,0,0,11.9,11.9
18,Vernon Davis,SF,TE,16,ATL,5,4,80,59,1,26,11.8,14.8,0,0,0,0,0,0,11.9,11.9
21,Julius Thomas,DEN,TE,8,WAS,7,6,85.7,58,1,26,8.3,9.7,0,0,0,0,0,0,11.8,11.8
22,Julius Thomas,DEN,TE,7,IND,8,6,75,57,1,26,7.1,9.5,0,0,0,0,0,0,11.7,11.7
22,Antonio Gates,LAC,TE,11,MIA,16,13,81.2,117,0,52,7.3,9,0,0,0,0,0,0,11.7,11.7
24,Julius Thomas,DEN,TE,3,LV,5,4,80,55,1,25,11,13.8,0,0,0,0,0,0,11.5,11.5
25,Julius Thomas,DEN,TE,4,PHI,5,4,80,53,1,24,10.6,13.2,0,0,0,0,0,0,11.3,11.3
26,Jordan Reed,WAS,TE,10,MIN,11,9,81.8,106,0,47,9.6,11.8,0,5,0,0,0,0,11.1,11.1
26,Jason Witten,DAL,TE,16,WAS,6,4,66.7,51,1,22,8.5,12.8,0,0,0,0,0,0,11.1,11.1
28,Tony Gonzalez,ATL,TE,8,ARI,13,11,84.6,110,0,49,8.5,10,0,0,0,0,0,0,11,11
28,Jason Witten,DAL,TE,7,PHI,12,9,75,110,0,49,9.2,12.2,0,0,0,0,0,0,11,11
30,Antonio Gates,LAC,TE,10,DEN,13,11,84.6,109,0,49,8.4,9.9,0,0,0,0,0,0,10.9,10.9
31,Greg Olsen,CAR,TE,17,ATL,13,10,76.9,107,0,48,8.2,10.7,0,0,0,0,0,0,10.7,10.7
32,Antonio Gates,LAC,TE,7,JAX,11,9,81.8,104,0,47,9.5,11.6,0,0,0,0,0,0,10.4,10.4
32,Rob Gronkowski,NE,TE,14,CLE,10,7,70,104,0,47,10.4,14.9,0,0,0,0,0,0,10.4,10.4
32,Rob Gronkowski,NE,TE,12,DEN,10,7,70,104,0,47,10.4,14.9,0,0,0,0,0,0,10.4,10.4
35,Jimmy Graham,NO,TE,2,TB,12,8,66.7,103,0,46,8.6,12.9,0,0,0,0,0,0,10.3,10.3
35,Antonio Gates,LAC,TE,6,IND,9,8,88.9,103,0,46,11.4,12.9,0,0,0,0,0,0,10.3,10.3
37,Jason Witten,DAL,TE,8,DET,10,8,80,101,0,45,10.1,12.6,0,0,0,0,0,0,10.1,10.1
37,Rob Gronkowski,NE,TE,11,CAR,9,6,66.7,101,0,45,11.2,16.8,0,0,0,0,0,0,10.1,10.1
39,Tony Gonzalez,ATL,TE,7,TB,12,10,83.3,99,0,44,8.2,9.9,0,0,0,0,0,0,9.9,9.9
39,Antonio Gates,LAC,TE,17,KC,12,10,83.3,99,0,44,8.2,9.9,0,0,0,0,0,0,9.9,9.9
41,Rob Gronkowski,NE,TE,13,HOU,10,7,70,98,0,44,9.8,14,0,0,0,0,0,0,9.8,9.8
42,Antonio Gates,LAC,TE,5,LV,8,7,87.5,97,0,43,12.1,13.9,0,0,0,0,0,0,9.7,9.7
42,Jordan Reed,WAS,TE,11,PHI,10,8,80,93,0,42,9.3,11.6,0,4,0,0,0,0,9.7,9.7
44,Greg Olsen,CAR,TE,5,ARI,11,9,81.8,95,0,42,8.6,10.6,0,0,0,0,0,0,9.5,9.5
44,Jordan Cameron,CLE,TE,14,NE,12,9,75,95,0,42,7.9,10.6,0,0,0,0,0,0,9.5,9.5
46,Greg Olsen,CAR,TE,6,MIN,9,7,77.8,94,0,42,10.4,13.4,0,0,0,0,0,0,9.4,9.4
47,Tony Gonzalez,ATL,TE,11,TB,10,8,80,92,0,41,9.2,11.5,0,0,0,0,0,0,9.2,9.2
48,Antonio Gates,LAC,TE,9,WAS,10,9,90,91,0,41,9.1,10.1,0,0,0,0,0,0,9.1,9.1
48,Jordan Cameron,CLE,TE,15,CHI,12,9,75,91,0,41,7.6,10.1,0,0,0,0,0,0,9.1,9.1
48,Antonio Gates,LAC,TE,15,DEN,11,8,72.7,91,0,41,8.3,11.4,0,0,0,0,0,0,9.1,9.1
48,Jason Witten,DAL,TE,12,NYG,10,8,80,91,0,40,9.1,11.4,0,0,0,0,0,0,9.1,9.1
52,Heath Miller,PIT,TE,8,LV,9,7,77.8,90,0,40,10,12.9,0,0,0,0,0,0,9,9
53,Jordan Cameron,CLE,TE,3,MIN,8,6,75,89,0,40,11.1,14.8,0,0,0,0,0,0,8.9,8.9
53,Jason Witten,DAL,TE,9,MIN,9,7,77.8,89,0,40,9.9,12.7,0,0,0,0,0,0,8.9,8.9
53,Jordan Reed,WAS,TE,9,LAC,8,7,87.5,89,0,40,11.1,12.7,0,0,0,0,0,0,8.9,8.9
