Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1179,AC Leonard,MIN,TE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,AD Denham,HOU,TE,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,HOU,TE,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,10,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,10,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,10,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,11,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,11,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,12,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,12,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,12,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,13,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,13,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,13,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,14,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,14,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,15,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,15,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,15,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,16,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,16,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,16,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,17,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,17,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,17,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,2,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,HOU,TE,2,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,3,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,HOU,TE,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,4,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,HOU,TE,4,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,5,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,6,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,AD Denham,PHI,TE,6,WAS,0.35,0.2,0,1.8,0,0,0,0,0,0,0,0,0,0,0.2,0.18
1421,AD Denham,ARI,TE,6,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,7,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,7,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,7,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AD Denham,HOU,TE,8,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,8,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,AD Denham,PHI,TE,9,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,AD Denham,ARI,TE,9,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,AJ Derby,NE,TE,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,AJ Derby,NE,TE,1,ARI,1.89,1.4,50,14.3,0.1,0,7,14,0,0,0,0,0,0,2,2.03
