Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Rob Gronkowski,NE,TE,1,PIT,8,5,62.5,94,3,52,11.8,18.8,0,0,0,0,0,0,27.4,27.4
2,Greg Olsen,CAR,TE,3,NO,11,8,72.7,134,2,52,12.2,16.8,0,0,0,0,0,0,25.4,25.4
3,Jordan Reed,WAS,TE,16,PHI,11,9,81.8,129,2,28,11.7,14.3,0,0,0,0,0,0,24.9,24.9
4,Delanie Walker,TEN,TE,9,NO,8,7,87.5,95,2,61,11.9,13.6,0,0,0,0,0,0,23.5,23.5
5,Tyler Eifert,CIN,TE,9,CLE,6,5,83.3,53,3,19,8.8,10.6,0,0,0,0,0,0,23.3,23.3
6,Austin Seferian-Jenkins,TB,TE,1,TEN,7,5,71.4,110,2,41,15.7,22,0,0,0,0,0,0,23,23
7,Zach Miller,CHI,TE,10,LAR,5,5,100,107,2,87,21.4,21.4,0,0,0,0,0,0,22.7,22.7
8,Travis Kelce,KC,TE,1,HOU,6,6,100,106,2,42,17.7,17.7,0,0,0,0,0,0,22.6,22.6
9,Tyler Eifert,CIN,TE,1,LV,12,9,75,104,2,31,8.7,11.6,0,0,0,0,0,0,22.4,22.4
10,Jordan Matthews,PHI,TE,15,ARI,11,8,72.7,159,1,78,14.5,19.9,0,0,0,0,0,0,21.9,21.9
11,Antonio Gates,LAC,TE,5,PIT,11,9,81.8,92,2,12,8.4,10.2,0,0,0,0,0,0,21.2,21.2
12,Tyler Eifert,CIN,TE,5,SEA,12,8,66.7,90,2,25,7.5,11.2,0,0,0,0,0,0,21,21
13,Crockett Gillmore,BAL,TE,2,LV,6,5,83.3,88,2,38,14.7,17.6,0,0,0,0,0,0,20.8,20.8
