PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Travis Kelce,KC,TE,6,DEN,0,0,0,0,0,0,6.08,70.06,0.71,0,0,0,0,0,0,9,131,0,11.27,17.35,14.31,13.1,22.1,17.6,0,0,0,0,0,0,2.92,60.94,-0.71,1.83,4.75,3.29
Greg Dulcich,DEN,TE,6,KC,0,0,0,0,0,0,1.56,17.64,0.12,0,0,0,0,0,0,1,3,0,2.48,4.04,3.26,0.3,1.3,0.8,0,0,0,0,0,0,-0.56,-14.64,-0.12,-2.18,-2.74,-2.46
Noah Gray,KC,TE,6,DEN,0,0,0,0,0,0,1.28,13.39,0.14,0,0,0,1,1,0,2,7,0,2.18,3.46,2.82,0.8,2.8,1.8,0,0,0,1,1,0,0.72,-6.39,-0.14,-1.38,-0.66,-1.02
Adam Trautman,DEN,TE,6,KC,0,0,0,0,0,0,1.28,13.86,0.1,0,0,0,0,0,0,1,4,0,1.99,3.27,2.63,0.4,1.4,0.9,0,0,0,0,0,0,-0.28,-9.86,-0.1,-1.59,-1.87,-1.73
TJ Hockenson,MIN,TE,6,CHI,0,0,0,0,0,0,5.81,60.41,0.47,0,0,0,0,0,0,6,50,0,8.86,14.67,11.76,5,11,8,0,0,0,0,0,0,0.19,-10.41,-0.47,-3.86,-3.67,-3.76
Mark Andrews,BAL,TE,6,TEN,0,0,0,0,0,0,4.93,53.24,0.43,0,0,0,1,0,0,4,69,0,7.9,12.83,10.36,6.9,10.9,8.9,0,0,0,1,0,0,-0.93,15.76,-0.43,-1,-1.93,-1.46
Evan Engram,JAC,TE,6,IND,0,0,0,0,0,0,4.74,46.83,0.26,0,0,0,0,0,0,7,41,0,6.24,10.98,8.61,4.1,11.1,7.6,0,0,0,0,0,0,2.26,-5.83,-0.26,-2.14,0.12,-1.01
George Kittle,SF,TE,6,CLE,0,0,0,0,0,0,3.62,44.77,0.24,0,0,0,0,0,0,1,1,0,5.92,9.54,7.73,0.1,1.1,0.6,0,0,0,0,0,0,-2.62,-43.77,-0.24,-5.82,-8.44,-7.13
Kyle Pitts,ATL,TE,6,WSH,0,0,0,0,0,0,3.34,43.88,0.23,0,0,0,0,0,0,4,43,1,5.77,9.11,7.44,10.3,14.3,12.3,0,0,0,0,0,0,0.66,-0.88,0.77,4.53,5.19,4.86
Dalton Schultz,HOU,TE,6,NO,0,0,0,0,0,0,3.88,37.74,0.26,0,0,0,0,0,0,4,61,1,5.33,9.21,7.27,12.1,16.1,14.1,0,0,0,0,0,0,0.12,23.26,0.74,6.77,6.89,6.83
Cole Kmet,CHI,TE,6,MIN,0,0,0,0,0,0,3.44,34.89,0.27,0,0,0,0,0,0,2,9,0,5.11,8.55,6.83,0.9,2.9,1.9,0,0,0,0,0,0,-1.44,-25.89,-0.27,-4.21,-5.65,-4.93
Logan Thomas,WSH,TE,6,ATL,0,0,0,0,0,0,3.7,34.78,0.23,0,0,0,0,0,0,1,2,0,4.86,8.56,6.71,0.2,1.2,0.7,0,0,0,0,0,0,-2.7,-32.78,-0.23,-4.66,-7.36,-6.01
Chigoziem Okonkwo,TEN,TE,6,BAL,0,0,0,0,0,0,3.18,33.66,0.16,0,0,0,0,0,0,2,18,0,4.33,7.51,5.92,1.8,3.8,2.8,0,0,0,0,0,0,-1.18,-15.66,-0.16,-2.53,-3.71,-3.12
Taysom Hill,NO,TE,6,HOU,0,0,0,2.8,18,0.11,1.06,10.42,0.08,4,0,0,1,2,0,7,49,0,3.98,5.04,4.51,5.26,12.26,8.76,4,0,0,-1.8,-16,-0.11,5.94,38.58,-0.08,1.28,7.22,4.25
