Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,ProjRecCount,ReceptionPercentage,ProjRecYd,ProjRecTD,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,ProjRushAtt,ProjRushYd,RushingYardsPerAttempt,ProjRushTD,Fumbles,FumblesLost,FantasyPointsPerGame,DiffPPR1
1406,A.J. Brown,TEN,WR,1,CLE,3.02,1.9,66.7,23.5,0.1,0,8.0,12.0,0.1,0.1,0.0,0.0,0.0,0.0,3.0,8.14
274,A.J. Brown,TEN,WR,1,DEN,6.51,4.1,57.1,71.0,0.4,0,10.1,17.8,0.4,1.9,0.0,0.0,0.0,0.0,9.7,-4.889999999999999
56,A.J. Brown,TEN,WR,1,ARI,7.1,5.6,85.7,83.1,0.7,0,11.9,13.8,0.02,0.1,0.0,0.0,0.0,0.0,12.5,-3.219999999999997
121,A.J. Brown,PHI,WR,1,DET,6.9,5.1,71.4,75.4,0.6,0,10.7,15.0,0.2,0.9,0.0,0.0,0.0,0.0,11.2,9.170000000000002
783,A.J. Brown,TEN,WR,2,IND,5.56,3.5,66.7,45.8,0.3,0,7.7,11.5,0.1,0.1,0.0,0.0,0.0,0.0,6.4,-4.390000000000001
97,A.J. Brown,TEN,WR,2,SEA,6.9,5.6,85.7,81.9,0.6,0,11.7,13.7,0.02,0.1,0.0,0.0,0.0,0.0,11.8,-10.099999999999998
109,A.J. Brown,PHI,WR,2,MIN,7.3,5.5,85.7,80.3,0.6,0,11.4,13.3,0.2,0.1,0.0,0.0,0.1,0.1,11.4,-5.24
1023,A.J. Brown,TEN,WR,3,JAX,4.61,2.9,60.0,36.7,0.2,0,7.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-6.369999999999999
132,A.J. Brown,TEN,WR,3,IND,6.6,5.3,71.4,76.5,0.6,0,10.9,15.2,0.1,0.3,0.0,0.0,0.0,0.0,11.3,-16.279999999999998
139,A.J. Brown,PHI,WR,3,WAS,7.5,5.5,75.0,79.0,0.5,0,9.9,13.2,0.3,1.3,0.0,0.0,0.1,0.1,10.8,2.969999999999999
