Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
1406,A.J. Brown,TEN,WR,1,CLE,3.02,1.9,66.7,23.5,0.1,0,8.0,12.0,0.1,0.1,0.0,0.0,0.0,0.0,3.0,2.96,2019
783,A.J. Brown,TEN,WR,2,IND,5.56,3.5,66.7,45.8,0.3,0,7.7,11.5,0.1,0.1,0.0,0.0,0.0,0.0,6.4,6.39,2019
1023,A.J. Brown,TEN,WR,3,JAX,4.61,2.9,60.0,36.7,0.2,0,7.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.87,2019
1043,A.J. Brown,TEN,WR,4,ATL,3.97,2.5,50.0,35.7,0.2,0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.77,2019
835,A.J. Brown,TEN,WR,5,BUF,4.45,2.8,75.0,43.0,0.3,0,10.8,14.3,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,2019
923,A.J. Brown,TEN,WR,6,DEN,4.61,2.9,60.0,42.5,0.2,0,8.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.45,2019
876,A.J. Brown,TEN,WR,7,LAC,4.61,2.9,60.0,40.7,0.3,0,8.2,13.7,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.87,2019
714,A.J. Brown,TEN,WR,8,TB,5.56,3.5,66.7,49.4,0.3,0,8.2,12.2,0.3,0.6,0.0,0.0,0.0,0.0,6.8,6.8,2019
954,A.J. Brown,TEN,WR,9,CAR,4.77,3.0,60.0,39.9,0.2,0,8.0,13.3,0.2,0.4,0.0,0.0,0.0,0.0,5.2,5.23,2019
598,A.J. Brown,TEN,WR,10,KC,6.2,3.9,66.7,56.2,0.3,0,9.3,14.0,0.1,0.2,0.0,0.0,0.0,0.0,7.4,7.44,2019
835,A.J. Brown,TEN,WR,12,JAX,4.61,2.9,60.0,42.9,0.3,0,8.6,14.3,0.1,0.1,0.0,0.0,0.0,0.0,6.1,6.1,2019
648,A.J. Brown,TEN,WR,13,IND,5.4,3.4,60.0,53.8,0.3,0,10.8,18.0,0.0,0.1,0.0,0.0,0.0,0.0,7.2,7.19,2019
701,A.J. Brown,TEN,WR,14,LV,5.08,3.2,60.0,51.0,0.3,0,10.2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6.9,2019
235,A.J. Brown,TEN,WR,15,HOU,6.51,4.1,57.1,66.4,0.5,0,9.4,16.5,0.2,0.6,0.0,0.0,0.0,0.0,9.7,9.7,2019
145,A.J. Brown,TEN,WR,16,NO,7.31,4.6,71.4,73.8,0.5,0,10.6,14.8,0.2,0.7,0.0,0.0,0.0,0.0,10.4,10.45,2019
130,A.J. Brown,TEN,WR,17,HOU,7.63,4.8,62.5,74.4,0.5,0,9.2,14.8,0.6,1.9,2.0,0.0,0.0,0.0,10.6,10.63,2019
274,A.J. Brown,TEN,WR,1,DEN,6.51,4.1,57.1,71.0,0.4,0,10.1,17.8,0.4,1.9,0.0,0.0,0.0,0.0,9.7,9.69,2020
313,A.J. Brown,TEN,WR,5,BUF,7.15,4.5,57.1,67.9,0.4,0,9.7,17.0,0.5,1.9,0.0,0.0,0.0,0.0,9.4,9.38,2020
183,A.J. Brown,TEN,WR,6,HOU,7.79,4.9,62.5,71.0,0.5,0,8.9,14.2,0.6,2.0,2.0,0.0,0.0,0.0,10.3,10.3,2020
264,A.J. Brown,TEN,WR,7,PIT,7.95,5.0,62.5,73.1,0.4,0,9.1,14.6,0.5,0.6,0.0,0.0,0.0,0.0,9.8,9.77,2020
135,A.J. Brown,TEN,WR,8,CIN,7.95,5.0,62.5,77.0,0.5,0,9.6,15.4,0.7,2.0,2.0,0.0,0.0,0.0,10.9,10.9,2020
177,A.J. Brown,TEN,WR,9,CHI,7.31,4.6,71.4,71.3,0.5,0,10.1,14.2,0.5,1.9,0.0,0.0,0.0,0.0,10.3,10.32,2020
151,A.J. Brown,TEN,WR,10,IND,8.1,5.1,62.5,74.6,0.5,0,9.4,15.0,0.5,2.0,0.0,0.0,0.0,0.0,10.7,10.66,2020
210,A.J. Brown,TEN,WR,11,BAL,7.47,4.7,71.4,69.9,0.5,0,10.0,14.0,0.2,1.2,0.0,0.0,0.0,0.0,10.1,10.11,2020
132,A.J. Brown,TEN,WR,12,IND,7.47,4.7,71.4,71.9,0.6,0,10.3,14.4,0.2,1.2,0.0,0.0,0.0,0.0,10.9,10.91,2020
35,A.J. Brown,TEN,WR,13,CLE,7.95,5.0,62.5,80.2,0.7,0,10.0,16.0,0.3,1.4,0.0,0.0,0.0,0.0,12.4,12.36,2020
85,A.J. Brown,TEN,WR,14,JAX,7.79,4.9,62.5,78.7,0.6,0,9.9,15.8,0.3,1.3,0.0,0.0,0.0,0.0,11.6,11.6,2020
26,A.J. Brown,TEN,WR,15,DET,8.26,5.2,62.5,85.0,0.7,0,10.6,17.0,0.3,1.3,0.0,0.0,0.0,0.0,12.8,12.83,2020
78,A.J. Brown,TEN,WR,16,GB,7.79,4.9,62.5,79.3,0.6,0,9.9,15.8,0.3,1.1,0.0,0.0,0.0,0.0,11.6,11.64,2020
33,A.J. Brown,TEN,WR,17,HOU,8.26,5.2,62.5,81.9,0.7,0,10.2,16.4,0.3,1.2,0.0,0.0,0.0,0.0,12.5,12.51,2020
56,A.J. Brown,TEN,WR,1,ARI,7.1,5.6,85.7,83.1,0.7,0,11.9,13.8,0.02,0.1,0.0,0.0,0.0,0.0,12.5,12.52,2021
97,A.J. Brown,TEN,WR,2,SEA,6.9,5.6,85.7,81.9,0.6,0,11.7,13.7,0.02,0.1,0.0,0.0,0.0,0.0,11.8,11.8,2021
132,A.J. Brown,TEN,WR,3,IND,6.6,5.3,71.4,76.5,0.6,0,10.9,15.2,0.1,0.3,0.0,0.0,0.0,0.0,11.3,11.28,2021
183,A.J. Brown,TEN,WR,5,JAX,7.0,5.4,71.4,76.3,0.5,0,10.9,15.2,0.17,0.7,0.0,0.0,0.0,0.0,10.7,10.7,2021
291,A.J. Brown,TEN,WR,6,BUF,6.3,4.7,83.3,67.7,0.5,0,11.3,13.6,0.1,0.6,0.0,0.0,0.0,0.0,9.8,9.83,2021
138,A.J. Brown,TEN,WR,7,KC,6.8,5.1,71.4,75.1,0.6,0,10.7,15.0,0.2,0.8,0.0,0.0,0.0,0.0,11.2,11.19,2021
79,A.J. Brown,TEN,WR,8,IND,7.4,5.8,85.7,84.7,0.6,0,12.1,14.2,0.07,0.3,0.0,0.0,0.0,0.0,12.1,12.1,2021
95,A.J. Brown,TEN,WR,9,LAR,7.6,5.7,75.0,83.6,0.6,0,10.5,14.0,0.1,0.6,0.0,0.0,0.1,0.1,11.8,11.82,2021
64,A.J. Brown,TEN,WR,10,NO,7.7,6.0,75.0,87.5,0.6,0,11.0,14.7,0.1,0.5,0.0,0.0,0.0,0.0,12.4,12.4,2021
62,A.J. Brown,TEN,WR,11,HOU,7.8,5.9,75.0,86.6,0.6,0,10.9,14.5,0.2,1.6,0.0,0.0,0.0,0.0,12.4,12.42,2021
396,A.J. Brown,TEN,WR,16,SF,6.1,4.6,83.3,65.6,0.4,0,11.0,13.2,0.1,0.5,0.0,0.0,0.0,0.0,9.0,9.01,2021
107,A.J. Brown,TEN,WR,17,MIA,8.0,5.6,75.0,80.0,0.6,0,10.0,13.3,0.02,0.1,0.0,0.0,0.0,0.0,11.6,11.61,2021
120,A.J. Brown,TEN,WR,18,HOU,7.2,5.5,85.7,78.3,0.6,0,11.1,13.0,0.1,0.4,0.0,0.0,0.0,0.0,11.5,11.47,2021
121,A.J. Brown,PHI,WR,1,DET,6.9,5.1,71.4,75.4,0.6,0,10.7,15.0,0.2,0.9,0.0,0.0,0.0,0.0,11.2,11.23,2022
109,A.J. Brown,PHI,WR,2,MIN,7.3,5.5,85.7,80.3,0.6,0,11.4,13.3,0.2,0.1,0.0,0.0,0.1,0.1,11.4,11.44,2022
139,A.J. Brown,PHI,WR,3,WAS,7.5,5.5,75.0,79.0,0.5,0,9.9,13.2,0.3,1.3,0.0,0.0,0.1,0.1,10.8,10.83,2022
101,A.J. Brown,PHI,WR,4,JAX,7.4,5.7,85.7,79.3,0.6,0,11.3,13.2,0.2,0.8,0.0,0.0,0.0,0.0,11.6,11.61,2022
121,A.J. Brown,PHI,WR,5,ARI,7.2,5.6,85.7,81.5,0.5,0,11.7,13.7,0.2,0.8,0.0,0.0,0.0,0.0,11.2,11.23,2022
188,A.J. Brown,PHI,WR,6,DAL,6.7,5.2,71.4,75.0,0.4,0,10.7,15.0,0.2,0.8,0.0,0.0,0.0,0.0,10.0,9.98,2022
138,A.J. Brown,PHI,WR,8,PIT,6.9,5.3,71.4,77.4,0.5,0,11.0,15.4,0.2,1.0,0.0,0.0,0.0,0.0,10.8,10.84,2022
96,A.J. Brown,PHI,WR,9,HOU,7.9,5.7,75.0,83.4,0.6,0,10.4,13.8,0.4,0.0,0.0,0.0,0.1,0.1,11.7,11.74,2022
90,A.J. Brown,PHI,WR,10,WAS,8.2,5.6,75.0,83.0,0.6,0,10.4,13.8,0.4,1.8,0.0,0.0,0.1,0.1,11.9,11.88,2022
108,A.J. Brown,PHI,WR,11,IND,7.2,5.4,71.4,77.6,0.6,0,11.1,15.6,0.2,1.2,0.0,0.0,0.0,0.0,11.5,11.48,2022
110,A.J. Brown,PHI,WR,12,GB,7.2,5.2,71.4,76.9,0.6,0,11.0,15.4,0.3,1.2,0.0,0.0,0.0,0.0,11.4,11.41,2022
115,A.J. Brown,PHI,WR,13,TEN,7.6,5.5,75.0,79.6,0.6,0,10.0,13.3,0.3,0.0,0.0,0.0,0.1,0.1,11.4,11.36,2022
92,A.J. Brown,PHI,WR,14,NYG,7.6,5.6,75.0,81.1,0.6,0,10.1,13.5,0.2,1.3,0.0,0.0,0.0,0.0,11.8,11.84,2022
52,A.J. Brown,PHI,WR,15,CHI,8.1,5.8,75.0,84.2,0.7,0,10.5,14.0,0.3,1.4,0.0,0.0,0.0,0.0,12.8,12.76,2022
106,A.J. Brown,PHI,WR,16,DAL,8.0,5.3,62.5,77.7,0.6,0,9.8,15.6,0.2,1.3,0.0,0.0,0.0,0.0,11.5,11.5,2022
