PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Sam LaPorta,DET,TE,4,GB,0,0,0,0,0,0,4.33,45.98,0.36,0,0,0,0,0,0,4,56,0,6.76,11.09,8.93,5.6,9.6,7.6,0,0,0,0,0,0,-0.33,10.02,-0.36,-1.16,-1.49,-1.33
Luke Musgrave,GB,TE,4,DET,0,0,0,0,0,0,3.16,35.6,0.25,0,0,0,0,0,0,1,1,0,5.06,8.22,6.64,0.1,1.1,0.6,0,0,0,0,0,0,-2.16,-34.6,-0.25,-4.96,-7.12,-6.04
Josiah Deguara,GB,TE,4,DET,0,0,0,0,0,0,0.22,2.32,0.02,0,0,0,0,0,0,4,34,0,0.35,0.57,0.46,3.4,7.4,5.4,0,0,0,0,0,0,3.78,31.68,-0.02,3.05,6.83,4.94
Taysom Hill,NO,TE,4,TB,0,0,0,2.92,14.24,1.1,0.8,7.57,0.03,13,0,0,4,10,0,1,7,0,8.96,9.76,9.36,2.22,3.22,2.72,13,0,0,1.08,-4.24,-1.1,0.2,-0.57,-0.03,-6.74,-6.54,-6.64
Mark Andrews,BAL,TE,4,CLE,0,0,0,0,0,0,5.27,55.63,0.36,0,0,0,0,0,0,5,80,2,7.72,12.99,10.36,20,25,22.5,0,0,0,0,0,0,-0.27,24.37,1.64,12.28,12.01,12.14
TJ Hockenson,MIN,TE,4,CAR,0,0,0,0,0,0,5.13,47.91,0.44,0,0,0,0,0,0,2,24,0,7.43,12.56,9.99,2.4,4.4,3.4,0,0,0,0,0,0,-3.13,-23.91,-0.44,-5.03,-8.16,-6.59
Evan Engram,JAC,TE,4,ATL,0,0,0,0,0,0,4.3,43.96,0.3,0,0,0,0,0,0,7,59,0,6.2,10.5,8.35,5.9,12.9,9.4,0,0,0,0,0,0,2.7,15.04,-0.3,-0.3,2.4,1.05
Kyle Pitts,ATL,TE,4,JAC,0,0,0,0,0,0,3.37,45.83,0.25,0,0,0,0,0,0,2,21,0,6.08,9.45,7.76,2.1,4.1,3.1,0,0,0,0,0,0,-1.37,-24.83,-0.25,-3.98,-5.35,-4.67
Dallas Goedert,PHI,TE,4,WSH,0,0,0,0,0,0,3.65,39.34,0.22,0,0,0,0,0,0,2,25,0,5.25,8.9,7.08,2.5,4.5,3.5,0,0,0,0,0,0,-1.65,-14.34,-0.22,-2.75,-4.4,-3.58
Dawson Knox,BUF,TE,4,MIA,0,0,0,0,0,0,3.04,31.25,0.33,0,0,0,0,0,0,1,12,0,5.11,8.15,6.63,1.2,2.2,1.7,0,0,0,0,0,0,-2.04,-19.25,-0.33,-3.91,-5.95,-4.93
Tyler Higbee,LA,TE,4,IND,0,0,0,0,0,0,3.76,33.16,0.28,0,0,0,0,0,0,5,64,0,5,8.76,6.88,6.4,11.4,8.9,0,0,0,0,0,0,1.24,30.84,-0.28,1.4,2.64,2.02
Pat Freiermuth,PIT,TE,4,HOU,0,0,0,0,0,0,3.38,34.09,0.25,0,0,0,0,0,0,3,7,0,4.91,8.29,6.6,0.7,3.7,2.2,0,0,0,0,0,0,-0.38,-27.09,-0.25,-4.21,-4.59,-4.4
