PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Tyreek Hill,MIA,WR,1,LAC,0,0,0,0.62,3.8,0.03,6.56,92.94,0.65,0,0,0,0,0,0,11,215,2,13.75,20.31,17.03,33.5,44.5,39,0,0,0,-0.62,-3.8,-0.03,4.44,122.06,1.35,19.75,24.19,21.97
Justin Jefferson,MIN,WR,1,TB,0,0,0,0.27,1.54,0.02,7.03,92.47,0.59,0,0,0,0,0,0,9,150,0,13.06,20.09,16.58,15,24,19.5,0,0,0,-0.27,-1.54,-0.02,1.97,57.53,-0.59,1.94,3.91,2.93
Ja'Marr Chase,CIN,WR,1,CLE,0,0,0,0.24,1.41,0.01,6.81,87.46,0.62,0,0,0,1,2,0,5,39,0,12.67,19.48,16.08,4.1,9.1,6.6,0,0,0,0.76,0.59,-0.01,-1.81,-48.46,-0.62,-8.57,-10.38,-9.48
Jaylen Waddle,MIA,WR,1,LAC,0,0,0,0.62,3.68,0.03,5.39,82.91,0.49,0,0,0,0,0,0,4,78,0,11.78,17.17,14.48,7.8,11.8,9.8,0,0,0,-0.62,-3.68,-0.03,-1.39,-4.91,-0.49,-3.98,-5.37,-4.67
CeeDee Lamb,DAL,WR,1,NYG,0,0,0,0.3,1.68,0.01,6.09,78.62,0.5,0,0,0,0,0,0,4,77,0,11.09,17.18,14.14,7.7,11.7,9.7,0,0,0,-0.3,-1.68,-0.01,-2.09,-1.62,-0.5,-3.39,-5.48,-4.44
Davante Adams,LV,WR,1,DEN,0,0,0,0.28,1.52,0.01,6.26,73.92,0.5,0,0,0,0,0,0,6,66,0,10.6,16.86,13.73,6.6,12.6,9.6,0,0,0,-0.28,-1.52,-0.01,-0.26,-7.92,-0.5,-4,-4.26,-4.13
Chris Olave,NO,WR,1,TEN,0,0,0,0,0,0,5.21,74.14,0.41,0,0,0,0,0,0,8,112,0,9.87,15.08,12.48,11.2,19.2,15.2,0,0,0,0,0,0,2.79,37.86,-0.41,1.33,4.12,2.72
DK Metcalf,SEA,WR,1,LA,0,0,0,0,0,0,5.72,66.62,0.53,0,0,0,0,0,0,3,47,1,9.84,15.56,12.7,10.7,13.7,12.2,0,0,0,0,0,0,-2.72,-19.62,0.47,0.86,-1.86,-0.5
Calvin Ridley,JAC,WR,1,IND,0,0,0,0,0,0,5.54,67.27,0.46,0,0,0,0,0,0,8,101,1,9.49,15.03,12.26,16.1,24.1,20.1,0,0,0,0,0,0,2.46,33.73,0.54,6.61,9.07,7.84
Deebo Samuel,SF,WR,1,PIT,0,0,0,2.19,10.35,0.1,4.43,58.76,0.3,0,0,0,2,8,0,5,55,0,9.31,13.74,11.52,6.3,11.3,8.8,0,0,0,-0.19,-2.35,-0.1,0.57,-3.76,-0.3,-3.01,-2.44,-2.72
