Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
852,AD Denham,HOU,TE,14,JAX,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2014
852,AD Denham,HOU,TE,15,IND,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2014
852,AD Denham,HOU,TE,16,BAL,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2014
852,AD Denham,HOU,TE,17,JAX,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2014
863,AJ Derby,NE,TE,1,ARI,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
863,AJ Derby,NE,TE,4,BUF,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
863,AJ Derby,NE,TE,5,CLE,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
863,AJ Derby,NE,TE,6,CIN,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
863,AJ Derby,DEN,TE,9,LV,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2016
506,AJ Derby,DEN,TE,10,NO,3,2,66.7,22,0,12.0,7.3,11.0,0,0,0.0,0,0,0,2.2,2.2,2016
326,AJ Derby,DEN,TE,12,KC,4,4,100.0,43,0,13.0,10.8,10.8,0,0,0.0,0,0,0,4.3,4.3,2016
842,AJ Derby,DEN,TE,13,JAX,1,1,100.0,3,0,3.0,3.0,3.0,0,0,0.0,0,0,0,0.3,0.3,2016
369,AJ Derby,DEN,TE,14,TEN,5,5,100.0,57,0,17.0,11.4,11.4,0,0,0.0,0,1,1,3.7,3.7,2016
388,AJ Derby,DEN,TE,15,NE,6,4,66.7,35,0,16.0,5.8,8.8,0,0,0.0,0,0,0,3.5,3.5,2016
366,AJ Derby,DEN,TE,1,LAC,3,3,100.0,34,0,13.0,11.3,11.3,0,0,0.0,0,0,0,3.4,3.4,2017
878,AJ Derby,DEN,TE,2,DAL,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
804,AJ Derby,DEN,TE,3,BUF,2,1,50.0,5,0,5.0,2.5,5.0,0,0,0.0,0,0,0,0.5,0.5,2017
46,AJ Derby,DEN,TE,4,LV,6,4,66.7,75,1,29.0,12.5,18.8,0,0,0.0,0,0,0,13.5,13.5,2017
685,AJ Derby,DEN,TE,6,NYG,4,1,25.0,10,0,10.0,2.5,10.0,0,0,0.0,0,0,0,1.0,1.0,2017
289,AJ Derby,DEN,TE,7,LAC,7,6,85.7,66,0,23.0,9.4,11.0,0,0,0.0,0,1,1,4.6,4.6,2017
163,AJ Derby,DEN,TE,8,KC,4,2,50.0,21,1,11.0,5.2,10.5,0,0,0.0,0,0,0,8.1,8.1,2017
659,AJ Derby,DEN,TE,9,PHI,3,1,33.3,11,0,11.0,3.7,11.0,0,0,0.0,0,0,0,1.1,1.1,2017
862,AJ Derby,DEN,TE,10,NE,1,1,100.0,2,0,2.0,2.0,2.0,0,0,0.0,0,0,0,0.2,0.2,2017
659,AJ Derby,MIA,TE,16,KC,5,1,20.0,11,0,11.0,2.2,11.0,0,0,0.0,0,0,0,1.1,1.1,2017
713,AJ Derby,MIA,TE,17,BUF,4,1,25.0,9,0,9.0,2.2,9.0,0,0,0.0,0,0,0,0.9,0.9,2017
870,AJ Derby,MIA,TE,1,TEN,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2018
154,AJ Derby,MIA,TE,2,NYJ,2,1,50.0,19,1,19.0,9.5,19.0,0,0,0.0,0,0,0,7.9,7.9,2018
575,AJ Derby,MIA,TE,3,LV,1,1,100.0,16,0,16.0,16.0,16.0,0,0,0.0,0,0,0,1.6,1.6,2018
629,AJ Derby,MIA,TE,10,GB,2,1,50.0,13,0,13.0,6.5,13.0,0,0,0.0,0,0,0,1.3,1.3,2018
878,Adam Shaheen,CHI,TE,1,ATL,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
878,Adam Shaheen,CHI,TE,2,TB,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
235,Adam Shaheen,CHI,TE,3,PIT,1,1,100.0,2,1,2.0,2.0,2.0,0,0,0.0,0,0,0,6.2,6.2,2017
878,Adam Shaheen,CHI,TE,4,GB,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
878,Adam Shaheen,CHI,TE,5,MIN,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
878,Adam Shaheen,CHI,TE,6,BAL,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
878,Adam Shaheen,CHI,TE,7,CAR,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
878,Adam Shaheen,CHI,TE,8,NO,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
330,Adam Shaheen,CHI,TE,10,GB,2,2,100.0,39,0,31.0,19.5,19.5,0,0,0.0,0,0,0,3.9,3.9,2017
100,Adam Shaheen,CHI,TE,11,DET,4,4,100.0,41,1,22.0,10.2,10.2,0,0,0.0,0,0,0,10.1,10.1,2017
871,Adam Shaheen,CHI,TE,12,PHI,1,1,100.0,1,0,1.0,1.0,1.0,0,0,0.0,0,0,0,0.1,0.1,2017
878,Adam Shaheen,CHI,TE,13,SF,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
93,Adam Shaheen,CHI,TE,14,CIN,5,4,80.0,44,1,18.0,8.8,11.0,0,0,0.0,0,0,0,10.4,10.4,2017
212,Adam Shaheen,CHI,TE,13,NYG,2,2,100.0,5,1,3.0,2.5,2.5,0,0,0.0,0,0,0,6.5,6.5,2018
870,Adam Shaheen,CHI,TE,14,LAR,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2018
327,Adam Shaheen,CHI,TE,15,GB,2,2,100.0,39,0,23.0,19.5,19.5,0,0,0.0,0,0,0,3.9,3.9,2018
835,Adam Shaheen,CHI,TE,16,SF,2,1,50.0,4,0,4.0,2.0,4.0,0,0,0.0,0,0,0,0.4,0.4,2018
870,Adam Shaheen,CHI,TE,17,MIN,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2018
764,Adam Shaheen,CHI,TE,1,GB,2,1,50.0,6,0,6.0,3.0,6.0,0,0,0.0,0,0,0,0.6,0.6,2019
431,Adam Shaheen,CHI,TE,2,DEN,3,3,100.0,24,0,9.0,8.0,8.0,0,0,0.0,0,0,0,2.4,2.4,2019
